Nombre;Edad;Tr@bajo;Trabajo;Estado_Civil;Nivel_escolaridad;Nivel_escolaridad;Tiene_Credito?;Medio_de_Comunicación;Duracion_ultimo_contacto_seg;Order_D4te;envio23$%3;Segment;Categ;SubCat;V2016;V2017;V2018
monica-/lopez-guarin;48;admin.;admin.;divorced;No informa;No informa;no;unknown;28;7/11/17;Regular;Corporativo;Muebles;Lapiceros_y_Marcadores;42.742;679.881;820.897
gilma-consuelo/perez-angulo;59;blue-collar;blue-collar;married;secondary;secondary;no;unknown;61;3/02/18;Regular;Startups;Muebles;Muebles_Oficina;4.815;204.048;619.377
lucrecia-/andres-zaque;44;management;management;married;tertiary;tertiary;no;unknown;124;1/08/18;Express_Aire;Corporativo;Suplementos_Oficina;Lapiceros_y_Marcadores;23.818;378.046;833.725
michael-eduardo/javier-garcia;3;admin.;admin.;single;tertiary;tertiary;no;unknown;89;24/04/16;Regular;Personas;Muebles;Papel;76.317;17.419;591.915
maria-leonardo/trujillo-herrera;5;blue-collar;blue-collar;married;primary;primary;no;unknown;21;20/05/17;Regular;Personas;Tecnología;Accesorios_Computadoras;22;144.326;624.519
andrea-/dominguez-calderon;25;admin.;admin.;married;secondary;secondary;no;unknown;393;27/12/16;Regular;Personas;Muebles;Almacenaje_y_Organización;38.182;524.722;359.565
-/gonzalez-silva;32;blue-collar;blue-collar;married;secondary;secondary;no;unknown;1178;6/03/16;Regular;Personas;Tecnología;Telefonos_comunicaciones;80.034;215.918;974.413
mirledis-patricia/martinez-murillo;49;blue-collar;blue-collar;married;primary;primary;no;unknown;161;16/09/18;Express_Aire;Startups;Suplementos_Oficina;Muebles_Oficina;3.183;420.796;110.631
monica-angel/zambrano-izquierdo;38;admin.;admin.;married;secondary;secondary;no;unknown;515;29/07/16;Regular;Hogares;Muebles;Almacenaje_y_Organización;40.596;282.814;529.527
martha-/dueñas-santos;29;blue-collar;blue-collar;single;secondary;secondary;no;unknown;177;9/05/18;Regular;Hogares;Muebles;Accesorios_Computadoras;56.658;266.302;898.586
lilia-ximena/melo-peña;51;management;management;married;tertiary;tertiary;no;unknown;178;20/12/18;Regular;Personas;Suplementos_Oficina;Muebles_Oficina;22.415;379.025;148.532
sandra-milena/manosalva-gomez;29;blue-collar;blue-collar;single;secondary;secondary;no;unknown;185;24/04/17;Regular;Startups;Suplementos_Oficina;Muebles_Oficina;77.288;963.080;155.040
nestor-rosario/lozano-sanchez;32;admin.;admin.;divorced;secondary;secondary;no;unknown;218;12/11/18;Express_Tierra;Startups;Suplementos_Oficina;Muebles_Oficina;19.514;647.827;206.000
lucrecia-ivan/paez-corredor;43;unemployed;unemployed;married;primary;primary;no;unknown;191;20/07/17;Regular;Corporativo;Muebles;Almacenaje_y_Organización;15.308;559.265;318.923
erley-marcelas/agudelo-sarmiento;34;blue-collar;blue-collar;married;secondary;secondary;no;unknown;245;23/07/18;Regular;Hogares;Suplementos_Oficina;Maquinas_Oficina;82.875;675.581;95.047
monica-/lozano-;37;blue-collar;blue-collar;married;primary;primary;no;unknown;255;30/07/17;Express_Tierra;Corporativo;Suplementos_Oficina;Copiadoras_Faxes;72.475;798.180;124.256
victoria-stella/gallo-alarcon;29;admin.;admin.;single;secondary;secondary;no;unknown;488;16/06/18;Regular;Personas;Suplementos_Oficina;Mesas;14.339;434.212;945.437
sandra-liliana/mendoza-niño;39;services;services;single;secondary;secondary;no;unknown;211;15/08/17;Regular;Corporativo;Tecnología;Encuadernadores_y_accesorios;37.279;460.509;965.961
diana-andrea/prada-forero;34;blue-collar;blue-collar;married;secondary;secondary;no;unknown;226;17/07/18;Express_Tierra;Startups;Tecnología;Sillas;36.652;142.635;657.453
laura-marcela/moscoso-romero;28;technician;technician;married;secondary;secondary;no;unknown;179;6/06/18;Regular;Personas;Muebles;Papel;2.878;451.386;317.187
elizabeth-paola/valero-parra;37;blue-collar;blue-collar;married;primary;primary;no;unknown;46;11/10/16;Express_Tierra;Startups;Muebles;Libreros;8.907;946.904;143.076
martha-/duarte-carrero;29;blue-collar;blue-collar;married;secondary;secondary;no;unknown;432;20/02/17;Regular;Startups;Tecnología;Telefonos_comunicaciones;29.169;866.010;857.494
maria-/castillo-balaguera;25;admin.;admin.;single;secondary;secondary;no;unknown;176;1/07/17;Express_Tierra;Personas;Muebles;Sillas;13.356;15.292;168.076
ligia-eugenia/gonzalez-guarin;33;blue-collar;blue-collar;married;primary;primary;no;unknown;162;28/05/16;Regular;Personas;Tecnología;Accesorios_Computadoras;81.691;136.478;375.218
ruby-constanza/garzon-ramos;34;admin.;admin.;single;secondary;secondary;no;unknown;192;11/12/17;Regular;Startups;Tecnología;Encuadernadores_y_accesorios;74.844;835.948;39.712
andrea-consuelo/dueñas-peña;5;blue-collar;blue-collar;divorced;primary;primary;no;unknown;237;14/02/16;Regular;Startups;Muebles;Accesorios;76.500;563.540;960.436
diego-/samper-acosta;35;blue-collar;blue-collar;married;secondary;secondary;no;unknown;134;22/03/16;Regular;Personas;Tecnología;Encuadernadores_y_accesorios;7.536;372.683;836.804
cesar-marcela/palacios-ramirez;53;management;management;divorced;tertiary;tertiary;no;unknown;44;17/10/17;Express_Tierra;Startups;Tecnología;Maquinas_Oficina;30.273;973.613;779.546
larisa-/benavidez-leon;41;blue-collar;blue-collar;single;primary;primary;no;unknown;47;2/01/16;Regular;Personas;Muebles;Telefonos_comunicaciones;91.380;403.375;999.327
reinaldo-consuelo/isaza-patarroyo;48;blue-collar;blue-collar;married;primary;primary;no;unknown;752;10/10/16;Regular;Corporativo;Suplementos_Oficina;Accesorios_Computadoras;72.922;388.807;274.409
maria-marcela/higuera-gonzalez;32;blue-collar;blue-collar;single;secondary;secondary;no;unknown;116;3/05/16;Regular;Corporativo;Tecnología;Papel;79.622;959.398;881.133
luz-/vanegas-lopez;38;self-employed;self-employed;married;secondary;secondary;no;unknown;182;6/04/18;Express_Aire;Hogares;Tecnología;Papel;35.062;492.384;634.172
gloria-patricia/manosalva-murillo;57;blue-collar;blue-collar;married;secondary;secondary;no;unknown;122;13/02/17;Regular;Hogares;Muebles;Accesorios_Computadoras;28.868;330.554;335.757
lina-marina/espitia-sanchez;5;management;management;married;tertiary;tertiary;no;unknown;51;8/02/16;Regular;Corporativo;Suplementos_Oficina;Encuadernadores_y_accesorios;60.387;390.219;509.624
tania-alveiro/herrera-yepes;4;management;management;married;tertiary;tertiary;no;unknown;26;29/09/18;Regular;Hogares;Tecnología;Encuadernadores_y_accesorios;53.118;951.307;386.145
rosa-andrea/reina-leguizamon;45;management;management;single;tertiary;tertiary;no;unknown;214;28/05/17;Regular;Startups;Suplementos_Oficina;Encuadernadores_y_accesorios;95.967;140.688;817.298
luz-alexander/javier-vanegas;34;blue-collar;blue-collar;single;secondary;secondary;no;unknown;47;2/03/18;Regular;Hogares;Suplementos_Oficina;Cuadernos;55.763;158.905;168.397
leonor-angeles/garcia-guarin;32;blue-collar;blue-collar;married;primary;primary;no;unknown;389;31/01/16;Regular;Hogares;Muebles;Bandas_Oficina;75.309;360.332;195.269
claudia-elena/patiño-carvajal;28;admin.;admin.;single;secondary;secondary;no;unknown;31;10/09/17;Express_Tierra;Hogares;Tecnología;Mesas;71.008;372.869;365.484
diana-carolina/villarreal-cifuentes;3;services;services;married;secondary;secondary;no;unknown;115;17/04/17;Regular;Hogares;Muebles;Reglas_tijeras;6.133;756.709;524.729
ketty-carolina/rodriguez-silva;41;management;management;single;tertiary;tertiary;no;unknown;878;12/09/18;Regular;Startups;Tecnología;Papel;85.084;555.804;247.141
cryshna-ximena/perez-velasquez;36;blue-collar;blue-collar;married;No informa;No informa;no;unknown;277;3/02/16;Regular;Corporativo;Muebles;Lapiceros_y_Marcadores;13.140;88.770;186.928
lilia-/ulloa-sanabria;49;services;services;divorced;secondary;secondary;no;unknown;117;30/05/18;Regular;Personas;Tecnología;Bandas_Oficina;57.902;443.894;692.574
tania-/valero-hernandez;32;self-employed;self-employed;married;tertiary;tertiary;no;unknown;262;19/01/16;Regular;Hogares;Muebles;Encuadernadores_y_accesorios;28.445;981.422;751.431
martha-/barbosa-calderon;53;management;management;married;tertiary;tertiary;no;unknown;244;7/01/16;Regular;Startups;Muebles;Lapiceros_y_Marcadores;75.507;851.249;395.066
miguel-adriana/lopez-rodriguez;44;unemployed;unemployed;married;secondary;secondary;no;unknown;119;3/05/18;Regular;Personas;Muebles;Telefonos_comunicaciones;70.727;494.572;28.818
maria-patricia/perilla-aragon;34;entrepreneur;entrepreneur;divorced;tertiary;tertiary;no;unknown;162;29/03/16;Regular;Personas;Tecnología;Accesorios_Computadoras;18.433;235.581;229.732
consuelo-/navas-leguizamon;56;admin.;admin.;divorced;secondary;secondary;yes;unknown;185;7/11/17;Regular;Startups;Suplementos_Oficina;Telefonos_comunicaciones;37.901;485.325;832.426
andrea-marina/arias-vargas;27;technician;technician;single;secondary;secondary;no;unknown;317;18/07/17;Regular;Personas;Muebles;Muebles_Oficina;10.013;557.354;340.109
victoria-isabel/vargas-carreño;32;blue-collar;blue-collar;married;secondary;secondary;no;unknown;214;10/09/17;Regular;Hogares;Suplementos_Oficina;Reglas_tijeras;31.471;64.323;256.097
andrea-/villarreal-coneo;43;blue-collar;blue-collar;single;primary;primary;no;unknown;71;29/10/16;Regular;Hogares;Tecnología;Almacenaje_y_Organización;68.102;319.534;129.786
karen-fernando/gonzalez-mellizos;34;admin.;admin.;divorced;primary;primary;no;unknown;43;11/12/18;Express_Tierra;Corporativo;Muebles;Maquinas_Oficina;65.590;492.111;243.902
maria-/bolivar-sanchez;35;self-employed;self-employed;married;secondary;secondary;no;unknown;298;31/07/18;Regular;Startups;Suplementos_Oficina;Papel;65.045;744.188;139.185
adriana-jacqueline/mora-romero;28;admin.;admin.;married;secondary;secondary;no;unknown;167;16/03/16;Regular;Startups;Tecnología;Accesorios;69.260;71.181;594.520
ana-/gonzalez-leguizamon;52;management;management;married;primary;primary;no;unknown;86;4/03/18;Regular;Hogares;Tecnología;Lapiceros_y_Marcadores;39.740;675.469;689.645
andrea-yanetd/ariza-muñoz;36;blue-collar;blue-collar;married;primary;primary;no;unknown;255;21/11/18;Regular;Personas;Suplementos_Oficina;Accesorios_Computadoras;52.279;892.233;884.365
luisa-ivan/herrera-ramirez;35;management;management;single;tertiary;tertiary;no;unknown;83;7/06/17;Express_Tierra;Startups;Suplementos_Oficina;Libreros;90.078;388.568;491.521
monica-pilar/diaz-patarroyo;3;admin.;admin.;married;secondary;secondary;no;unknown;257;13/01/16;Regular;Hogares;Muebles;Cuadernos;14.541;864.707;207.566
alexander-/valero-villamil;23;management;management;single;No informa;No informa;no;unknown;194;19/05/17;Express_Aire;Corporativo;Suplementos_Oficina;Cuadernos;88.567;287.209;198.785
miguel-/martinez-parra;37;entrepreneur;entrepreneur;divorced;secondary;secondary;no;unknown;268;22/02/16;Regular;Corporativo;Tecnología;Papel;18.708;30.754;192.747
alcira-elvira/patiño-tapia;29;services;services;single;secondary;secondary;no;unknown;176;19/06/17;Regular;Startups;Muebles;Lapiceros_y_Marcadores;49.744;215.759;719.815
ligia-jesus/lopez-lemus;28;self-employed;self-employed;single;secondary;secondary;no;unknown;97;8/07/17;Regular;Personas;Suplementos_Oficina;Accesorios_Computadoras;14.391;357.208;42.481
reinaldo-angelina/garzon-torres;56;services;services;divorced;tertiary;tertiary;no;unknown;263;1/06/18;Regular;Corporativo;Tecnología;Papel;37.834;339.979;346.849
sandra-elvira/reinosa-suarez;27;admin.;admin.;married;secondary;secondary;no;unknown;338;6/03/17;Express_Tierra;Hogares;Suplementos_Oficina;Mesas;62.488;770.291;727.968
maria-paola/melo-perea;33;blue-collar;blue-collar;single;primary;primary;no;unknown;18;3/04/17;Express_Tierra;Personas;Muebles;Maquinas_Oficina;13.772;25.368;328.452
olga-andres/arroyave-gomez;53;blue-collar;blue-collar;married;primary;primary;no;unknown;322;14/10/16;Regular;Personas;Suplementos_Oficina;Muebles_Oficina;83.372;768.090;729.566
cesar-/gonzalez-ruiz;47;blue-collar;blue-collar;married;secondary;secondary;no;unknown;64;29/04/17;Regular;Corporativo;Tecnología;Almacenaje_y_Organización;52.820;810.446;383.026
ana-angeles/barajas-vargas;5;services;services;married;secondary;secondary;no;unknown;71;14/08/18;Regular;Hogares;Suplementos_Oficina;Almacenaje_y_Organización;26.338;660.162;113.855
monica-marcela/cabrera-tellez;31;admin.;admin.;single;secondary;secondary;no;unknown;166;11/10/17;Regular;Startups;Muebles;Bandas_Oficina;62.270;75.479;329.897
tania-adriana/perez-tautiva;31;blue-collar;blue-collar;married;secondary;secondary;no;unknown;21;28/04/18;Regular;Startups;Muebles;Telefonos_comunicaciones;37.830;83.141;534.360
mary-/sabogal-navas;37;management;management;married;tertiary;tertiary;no;unknown;77;10/04/17;Express_Aire;Hogares;Tecnología;Lapiceros_y_Marcadores;16.025;683.553;144.270
ayda-/garzon-ladino;37;management;management;single;tertiary;tertiary;no;unknown;328;18/10/17;Regular;Personas;Tecnología;Lapiceros_y_Marcadores;36.315;245.468;966.722
diego-pilar/mendoza-artunduaga;48;unemployed;unemployed;married;primary;primary;no;unknown;164;7/09/18;Regular;Startups;Tecnología;Telefonos_comunicaciones;31.384;58.750;345.386
jorge-liliana/acuña-forero;31;management;management;single;tertiary;tertiary;no;unknown;154;28/01/16;Regular;Corporativo;Tecnología;Muebles_Oficina;3.115;396.863;164.045
adriana-/reinosa-jimenez;34;technician;technician;married;secondary;secondary;no;unknown;84;20/03/16;Regular;Startups;Suplementos_Oficina;Papel;23.087;904.001;3.740
luz-/quintero-rueda;32;blue-collar;blue-collar;single;primary;primary;no;unknown;153;31/01/18;Regular;Startups;Muebles;Accesorios_Computadoras;96.622;482.512;668.358
hermes-/pineda-bejarano;54;management;management;married;tertiary;tertiary;no;unknown;155;10/04/18;Regular;Hogares;Muebles;Telefonos_comunicaciones;28.354;995.281;559.205
nestor-marcela/bolivar-aragon;31;management;management;single;tertiary;tertiary;no;unknown;111;30/08/17;Regular;Personas;Tecnología;Sobres;27.569;650.239;415.445
leonardo-beatriz/rios-lopez;55;services;services;married;secondary;secondary;no;unknown;91;18/08/17;Regular;Startups;Suplementos_Oficina;Accesorios_Computadoras;82.576;461.318;365.251
martha-angeles/navas-izquierdo;27;blue-collar;blue-collar;married;secondary;secondary;no;unknown;257;5/10/18;Express_Aire;Startups;Tecnología;Papel;20.615;750.901;853.426
mirledis-/herrera-yaruro;36;blue-collar;blue-collar;married;secondary;secondary;no;unknown;213;29/05/17;Regular;Startups;Tecnología;Almacenaje_y_Organización;58.856;582.373;427.482
luz-fernando/ramirez-santos;33;technician;technician;married;secondary;secondary;no;unknown;173;6/05/16;Regular;Startups;Tecnología;Accesorios_Computadoras;12.763;396.412;744.420
andrea-mireya/villamil-borda;43;blue-collar;blue-collar;married;primary;primary;no;unknown;315;8/09/16;Regular;Personas;Suplementos_Oficina;Encuadernadores_y_accesorios;74.004;913.324;425.128
monica-yamile/pulido-lemus;42;blue-collar;blue-collar;married;secondary;secondary;no;unknown;19;12/08/17;Express_Aire;Personas;Tecnología;Encuadernadores_y_accesorios;7.886;193.720;752.372
maria-alexander/javier-vargas;48;blue-collar;blue-collar;married;primary;primary;no;unknown;12;4/09/16;Express_Tierra;Hogares;Tecnología;Maquinas_Oficina;78.066;594.514;49.841
larisa-liliana/puche-garcia;41;admin.;admin.;single;secondary;secondary;no;unknown;35;21/05/16;Regular;Hogares;Tecnología;Almacenaje_y_Organización;81.712;368.777;320.947
jenny-marina/valencia-zaque;36;technician;technician;married;secondary;secondary;no;unknown;83;14/07/18;Regular;Corporativo;Suplementos_Oficina;Telefonos_comunicaciones;86.963;811.524;646.902
amparo-orlando/enciso-calderon;32;services;services;single;secondary;secondary;no;unknown;834;30/04/17;Regular;Hogares;Tecnología;Muebles_Oficina;42.062;380.710;577.482
tania-rosario/triviño-figueroa;58;management;management;single;No informa;No informa;no;unknown;244;4/12/18;Express_Tierra;Personas;Suplementos_Oficina;Copiadoras_Faxes;6.202;643.164;407.375
maria-amparo/aguillon-tautiva;4;services;services;married;secondary;secondary;no;unknown;143;11/12/17;Express_Tierra;Corporativo;Tecnología;Maquinas_Oficina;90.148;585.126;821.420
tania-/lanza-ladino;31;management;management;married;tertiary;tertiary;no;unknown;1534;23/09/18;Regular;Corporativo;Muebles;Encuadernadores_y_accesorios;42.699;533.640;990.137
luisa-/montoya-vega;42;blue-collar;blue-collar;married;primary;primary;no;unknown;291;17/05/18;Regular;Corporativo;Muebles;Cuadernos;27.118;36.596;861.645
maria-helena/camacho-vasquez;34;blue-collar;blue-collar;divorced;secondary;secondary;no;unknown;163;23/03/16;Regular;Corporativo;Suplementos_Oficina;Lapiceros_y_Marcadores;11.770;807.065;838.836
diana-marlen/ariza-saenz;34;technician;technician;married;secondary;secondary;no;unknown;149;27/11/18;Regular;Startups;Suplementos_Oficina;Papel;21.156;368.126;977.863
yadira-/aguillon-guzman;35;technician;technician;married;No informa;No informa;no;unknown;33;31/05/16;Regular;Personas;Tecnología;Lapiceros_y_Marcadores;20.815;141.185;364.410
nancy-mireya/arias-muñoz;57;management;management;divorced;secondary;secondary;no;unknown;144;30/12/18;Express_Tierra;Personas;Tecnología;Mesas;35.712;229.970;654.749
gustavo-alejandra/suarez-iglesias;28;blue-collar;blue-collar;married;primary;primary;no;unknown;4;8/07/16;Regular;Corporativo;Tecnología;Telefonos_comunicaciones;72.191;853.712;991.731
karen-/ramirez-garay;5;technician;technician;married;secondary;secondary;no;unknown;79;11/03/16;Regular;Personas;Muebles;Accesorios_Computadoras;91.630;538.672;352.743
paulo-ivan/trujillo-suarez;46;self-employed;self-employed;married;tertiary;tertiary;no;unknown;112;2/05/16;Regular;Startups;Muebles;Telefonos_comunicaciones;45.887;319.773;788.339
sandra-/cabrera-corredor;28;blue-collar;blue-collar;married;secondary;secondary;no;unknown;147;2/01/16;Regular;Personas;Suplementos_Oficina;Papel;45.108;25.661;335.997
nestor-consuelo/varga-calderon;57;;;married;No informa;No informa;no;unknown;836;20/02/16;Regular;Startups;Suplementos_Oficina;Telefonos_comunicaciones;97.051;266.199;136.190
tania-stella/barragan-alarcon;49;admin.;admin.;married;secondary;secondary;yes;unknown;29;18/10/18;Regular;Startups;Tecnología;Cuadernos;85.212;936.829;920.449
claudia-milena/mendez-torres;56;management;management;single;tertiary;tertiary;no;unknown;148;19/07/17;Regular;Hogares;Tecnología;Accesorios_Computadoras;494;936.110;554.941
michael-fernando/guzman-carreño;56;blue-collar;blue-collar;married;secondary;secondary;no;unknown;289;29/07/16;Regular;Personas;Suplementos_Oficina;Accesorios;21.092;890.819;406.391
luz-hernando/sarmiento-ladino;49;management;management;divorced;tertiary;tertiary;yes;unknown;345;30/08/17;Regular;Hogares;Muebles;Copiadoras_Faxes;52.621;184.861;663.361
rocio-patricia/lanza-romero;5;management;management;married;tertiary;tertiary;no;unknown;12;14/01/16;Express_Tierra;Corporativo;Tecnología;Copiadoras_Faxes;20.366;993.396;978.480
sandra-tulia/moreno-suarez;47;admin.;admin.;single;secondary;secondary;no;unknown;181;8/06/18;Regular;Personas;Suplementos_Oficina;Muebles_Oficina;86.661;631.316;49.420
rocio-jacobo/navas-medina;45;blue-collar;blue-collar;married;primary;primary;no;unknown;46;18/01/18;Express_Tierra;Personas;Suplementos_Oficina;Copiadoras_Faxes;85.271;126.340;309.984
paola-rocio/mora-ballen;44;unemployed;unemployed;married;secondary;secondary;no;unknown;129;9/06/17;Regular;Startups;Tecnología;Accesorios;81.173;739.001;814.096
reinaldo-/vanegas-ruiz;51;blue-collar;blue-collar;married;tertiary;tertiary;no;unknown;76;6/05/18;Express_Aire;Corporativo;Muebles;Papel;50.442;323.030;909.570
sandra-/chaparro-velasquez;34;blue-collar;blue-collar;married;secondary;secondary;no;unknown;111;5/07/18;Express_Aire;Hogares;Muebles;Accesorios;28.560;896.317;317.467
cesar-fernando/agudelo-garay;25;management;management;married;tertiary;tertiary;no;unknown;14;8/11/16;Regular;Hogares;Suplementos_Oficina;Maquinas_Oficina;65.070;806.852;18.077
diana-janeth/manzano-garcia;3;blue-collar;blue-collar;married;primary;primary;no;unknown;221;4/07/16;Regular;Hogares;Muebles;Muebles_Oficina;48.480;543.488;783.628
sandra-/ariza-cortes;39;unemployed;unemployed;divorced;secondary;secondary;no;unknown;15;22/11/17;Regular;Hogares;Tecnología;Lapiceros_y_Marcadores;19.241;244.015;131.804
nestor-alejandra/patiño-aguilar;25;student;student;married;tertiary;tertiary;no;unknown;399;18/10/18;Regular;Hogares;Tecnología;Muebles_Oficina;31.680;288.483;666.715
amelia-/vanegas-vargas;34;admin.;admin.;divorced;secondary;secondary;no;unknown;115;26/04/18;Express_Tierra;Hogares;Muebles;Maquinas_Oficina;17.983;99.354;520.926
erika-catalina/cuellar-carbonell;25;blue-collar;blue-collar;single;secondary;secondary;no;unknown;149;27/02/16;Express_Aire;Startups;Suplementos_Oficina;Papel;44.517;515.805;214.670
#¿NOMBRE?;33;blue-collar;blue-collar;married;secondary;secondary;no;unknown;92;20/01/17;Regular;Corporativo;Tecnología;Sillas;47.034;530.668;201.242
jenny-angeles/espitia-peña;44;services;services;divorced;secondary;secondary;no;unknown;111;3/09/18;Express_Aire;Startups;Tecnología;Accesorios_Computadoras;33.966;728.962;920.160
maria-/vanegas-mendoza;55;retired;retired;married;secondary;secondary;no;unknown;128;11/10/18;Regular;Personas;Suplementos_Oficina;Papel;43.184;916.529;438.955
johanna-mireya/diaz-urrea;54;admin.;admin.;married;secondary;secondary;no;unknown;192;3/07/18;Regular;Hogares;Suplementos_Oficina;Encuadernadores_y_accesorios;36.798;146.514;656.987
maria-patricia/dueñas-lopez;43;unemployed;unemployed;married;secondary;secondary;no;unknown;88;7/09/16;Express_Tierra;Corporativo;Muebles;Sillas;81.103;84.896;227.131
fermin-isabel/castañeda-rodriguez;35;blue-collar;blue-collar;married;secondary;secondary;no;unknown;592;25/03/16;Regular;Startups;Muebles;Encuadernadores_y_accesorios;91.150;502.910;709.742
erika-alveiro/duarte-mahecha;27;services;services;single;secondary;secondary;no;unknown;15;24/08/18;Regular;Personas;Tecnología;Papel;98.321;710.449;514.441
maribel-janeth/gomez-mendoza;42;blue-collar;blue-collar;married;primary;primary;no;unknown;62;23/11/18;Regular;Corporativo;Tecnología;Encuadernadores_y_accesorios;97.079;776.388;466.496
claudia-/cendales-suarez;4;technician;technician;married;secondary;secondary;no;unknown;29;26/08/18;Regular;Corporativo;Suplementos_Oficina;Papel;39.560;956.869;315.570
claudia-tulia/diaz-niño;31;blue-collar;blue-collar;married;primary;primary;no;unknown;59;1/06/17;Regular;Hogares;Muebles;Almacenaje_y_Organización;48.326;899.020;497.009
fermin-milena/leon-silva;29;technician;technician;married;tertiary;tertiary;no;unknown;247;7/09/18;Regular;Personas;Tecnología;Telefonos_comunicaciones;99.722;688.604;135.788
claudia-/lagos-artunduaga;49;technician;technician;married;secondary;secondary;no;unknown;16;31/01/17;Regular;Hogares;Tecnología;Encuadernadores_y_accesorios;2.649;603.164;589.017
martha-/aguillon-peña;59;retired;retired;divorced;primary;primary;no;unknown;144;12/06/17;Express_Tierra;Personas;Suplementos_Oficina;Libreros;35.999;782.407;112.958
cryshna-viviana/moscoso-gomez;37;management;management;married;tertiary;tertiary;no;unknown;346;16/12/17;Regular;Personas;Tecnología;Cuadernos;56.469;208.914;415.433
javier-maria/ariza-perea;6;blue-collar;blue-collar;married;No informa;No informa;no;unknown;57;22/05/17;Regular;Hogares;Muebles;Almacenaje_y_Organización;45.479;909.515;157.180
maria-yineth/enciso-villamil;25;technician;technician;single;secondary;secondary;no;unknown;396;19/12/18;Express_Tierra;Hogares;Suplementos_Oficina;Libreros;64.247;954.343;4.772
cesar-alejandra/sanchez-acosta;28;admin.;admin.;married;secondary;secondary;no;unknown;286;8/04/16;Express_Aire;Hogares;Tecnología;Telefonos_comunicaciones;80.709;897.506;634.558
luisa-rosario/rico-garcia;4;services;services;single;secondary;secondary;no;unknown;4;6/09/18;Regular;Corporativo;Tecnología;Papel;10.730;188.257;147.388
alcira-/garzon-torres;43;technician;technician;single;tertiary;tertiary;no;unknown;282;2/02/18;Express_Tierra;Personas;Muebles;Mesas;27.641;750.326;465.077
libia-/barragan-beleño;51;blue-collar;blue-collar;married;primary;primary;yes;unknown;38;23/04/18;Express_Tierra;Startups;Suplementos_Oficina;Accesorios;66.341;304.992;690.751
tania-leonardo/bolivar-perea;28;admin.;admin.;single;secondary;secondary;no;unknown;252;16/06/16;Regular;Personas;Suplementos_Oficina;Reglas_tijeras;22.477;960.431;87.118
#¿NOMBRE?;54;management;management;married;primary;primary;no;unknown;76;13/03/16;Express_Aire;Startups;Tecnología;Papel;89.819;862.722;631.508
gloria-/enciso-herrera;37;blue-collar;blue-collar;married;secondary;secondary;no;unknown;566;1/07/17;Express_Tierra;Hogares;Tecnología;Mesas;14.162;583.454;689.557
isabel-helena/acosta-murillo;35;self-employed;self-employed;married;tertiary;tertiary;no;unknown;167;17/01/17;Regular;Startups;Muebles;Telefonos_comunicaciones;19.935;529.228;307.594
luz-/corredor-molano;26;management;management;divorced;tertiary;tertiary;yes;unknown;127;6/02/18;Regular;Corporativo;Tecnología;Maquinas_Oficina;55.283;393.808;988.655
monica-beatriz/valencia-yepes;55;services;services;single;secondary;secondary;no;unknown;178;14/11/18;Express_Tierra;Corporativo;Tecnología;Libreros;44.127;297.860;468.460
constanza-mireya/sarmiento-moreno;57;unemployed;unemployed;married;secondary;secondary;no;unknown;71;29/04/16;Express_Aire;Hogares;Suplementos_Oficina;Lapiceros_y_Marcadores;59.951;274.439;380.386
nancy-/suarez-garay;39;blue-collar;blue-collar;divorced;secondary;secondary;no;unknown;19;1/04/17;Express_Tierra;Personas;Muebles;Sillas;13.612;949.950;968.155
consuelo-/prada-rodriguez;36;services;services;married;tertiary;tertiary;no;unknown;12;25/02/17;Express_Aire;Hogares;Muebles;Papel;9.027;406.734;741.394
nidia-milena/patiño-cifuentes;35;management;management;single;tertiary;tertiary;no;unknown;12;10/10/17;Regular;Personas;Muebles;Papel;42.309;715.830;485.263
carolina-liliana/rodriguez-gerenas;33;blue-collar;blue-collar;married;primary;primary;no;unknown;49;12/07/16;Regular;Startups;Muebles;Accesorios_Computadoras;675;577.657;881.569
mirledis-patricia/lopez-chaparro;4;services;services;single;secondary;secondary;no;unknown;117;30/06/18;Express_Tierra;Personas;Muebles;Maquinas_Oficina;47.676;116.527;345.252
elkin-isabel/-patarroyo;31;technician;technician;married;secondary;secondary;no;unknown;177;4/02/16;Regular;Hogares;Suplementos_Oficina;Papel;34.120;859.722;94.486
maria-patricia/atehortua-herrera;32;management;management;single;tertiary;tertiary;no;unknown;757;17/02/17;Regular;Personas;Suplementos_Oficina;Maquinas_Oficina;73.739;36.565;843.049
elkin-pilar/castañeda-urrea;27;management;management;single;tertiary;tertiary;no;unknown;145;10/01/17;Regular;Startups;Suplementos_Oficina;Encuadernadores_y_accesorios;40.945;758.933;335.112
sandra-patricia/lozano-tellez;31;services;services;single;secondary;secondary;no;unknown;124;25/04/18;Regular;Hogares;Muebles;Accesorios;72.613;857.579;472.946
luisa-/acuña-tapia;28;blue-collar;blue-collar;single;secondary;secondary;yes;unknown;36;18/10/18;Regular;Corporativo;Muebles;Almacenaje_y_Organización;26.772;367.372;750.642
gustavo-carolina/sanchez-lopez;33;blue-collar;blue-collar;divorced;secondary;secondary;no;unknown;94;9/07/17;Regular;Hogares;Muebles;Lapiceros_y_Marcadores;27.710;400.299;519.895
milton-/hernandez-masmela;31;blue-collar;blue-collar;single;secondary;secondary;no;unknown;189;8/04/16;Regular;Hogares;Muebles;Almacenaje_y_Organización;52.461;273.190;262.018
